OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu007,0.118291,0.016758,0.048929,0.085096,0.002079,0.017232,0.632493,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu010,0.035964,0.000627,0.009462,0.034257,0.000363,0.007202,0.913849,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu011,0.0189,0.000153,0.00467,0.019415,0.000116,0.004066,0.944603,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu012,0.002833,1.10E-05,0.001268,0.003059,6.00E-06,0.000926,0.914384,1.999997,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu013,0.00747,0.000138,0.004434,0.002318,1.10E-05,0.001275,0.297562,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu015,0.000129,0,9.70E-05,0.00029,0,0.000168,0.525753,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu016,0.026208,0.000727,0.010188,0.01671,0.000179,0.005056,0.518795,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu017,0.02682,0.000691,0.009934,0.044882,0.001472,0.014502,0.355096,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu018,0.004475,3.00E-06,0.000607,0.00718,4.70E-05,0.002581,0.360932,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu019,0.010754,6.60E-05,0.003081,0.008468,9.70E-05,0.003729,0.724685,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu020,0.006504,8.60E-05,0.003502,0.010593,5.10E-05,0.002704,0.443342,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu021,0.006761,4.30E-05,0.002465,0.004025,1.00E-05,0.001203,0.394863,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
