OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu075,0.000282,0,0.000189,0,0,0,0.000999,1.999997,0.03421575,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu110,0.002366,4.50E-05,0.002366,0,0,0,0.000999,1.999997,0.03421575,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu153,0.000592,3.00E-06,0.000592,0,0,0,0.000999,1.999997,0.03421575,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Psychrobacter(100);
Otu173,0.001099,1.00E-05,0.001099,0,0,0,0.000999,1.999997,0.03421575,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);Rhodobacter(100);
Otu023,0.010565,0.00014,0.004186,0.032229,0.000262,0.005721,0.004995,1.999997,0.136863,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu058,0.000141,0,7.30E-05,0.003381,1.10E-05,0.001199,0.005994,1.999997,0.136863,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu079,2.80E-05,0,2.80E-05,0.000282,0,0.000111,0.006993,1.999997,0.136863,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu061,0.000366,0,0.000127,0.002423,6.00E-06,0.000893,0.01998,1.999997,0.3421575,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu038,0.000817,1.00E-06,0.000327,0.009381,0.000145,0.004259,0.028971,1.999997,0.356690917,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu054,0.01634,0.001484,0.013618,0.000338,0,0.000113,0.027972,1.999997,0.356690917,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu089,2.80E-05,0,2.80E-05,0.000282,0,0.000126,0.025974,1.999997,0.356690917,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu109,0.000169,0,0.00014,0,0,0,0.031243,1.999997,0.356690917,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu005,0.010452,2.30E-05,0.001684,0.021693,0.000239,0.005468,0.074925,1.999997,0.55429515,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu025,0.001831,7.00E-06,0.000904,0.006789,7.50E-05,0.003061,0.068931,1.999997,0.55429515,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu048,5.60E-05,0,3.70E-05,0.00062,1.00E-06,0.000358,0.055944,1.999997,0.55429515,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu060,0.00124,7.00E-06,0.000939,5.60E-05,0,5.60E-05,0.080919,1.999997,0.55429515,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu065,0.000423,0,0.000243,0.001296,1.00E-06,0.000399,0.080919,1.999997,0.55429515,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);
Otu093,0.000197,0,0.000131,2.80E-05,0,2.80E-05,0.070297,1.999997,0.55429515,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu098,2.80E-05,0,2.80E-05,0.000423,0,0.000235,0.075924,1.999997,0.55429515,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu129,0,0,0,0.000141,0,0.000141,0.062491,1.999997,0.55429515,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Sporobacter(100);
Otu011,0.01896,0.000294,0.006058,0.007945,3.30E-05,0.002033,0.095904,1.999997,0.622104545,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu019,0.017889,0.000321,0.006331,0.064937,0.005209,0.025518,0.0999,1.999997,0.622104545,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu037,0.001014,5.00E-06,0.000767,8.50E-05,0,5.90E-05,0.107892,1.999997,0.625659429,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu057,0.000113,0,0.000113,0,0,0,0.124989,1.999997,0.625659429,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu076,0.001662,3.00E-06,0.000605,0.000704,1.00E-06,0.000326,0.127872,1.999997,0.625659429,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu081,0.000113,0,0.000113,0,0,0,0.124989,1.999997,0.625659429,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridiaceae_1_unclassified(100);
Otu100,0,0,0,0.000113,0,8.50E-05,0.124989,1.999997,0.625659429,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu123,0.001578,8.00E-06,0.001018,0.000169,0,0.000111,0.113886,1.999997,0.625659429,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu026,0.003831,2.10E-05,0.001636,0.013776,0.000324,0.006367,0.132867,1.999997,0.627682034,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu003,0.139903,0.011208,0.037429,0.086883,0.004494,0.023702,0.234765,1.999997,0.81544031,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu009,0.001042,1.00E-06,0.000343,0.002113,4.00E-06,0.000745,0.235764,1.999997,0.81544031,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu018,0.002845,1.40E-05,0.001314,0.005747,2.20E-05,0.001675,0.194805,1.999997,0.81544031,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu028,0.000141,0,9.50E-05,0.001099,3.00E-06,0.000635,0.187812,1.999997,0.81544031,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu059,2.80E-05,0,2.80E-05,0.000254,0,0.000197,0.231768,1.999997,0.81544031,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu071,0,0,0,8.50E-05,0,4.10E-05,0.249989,1.999997,0.81544031,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu074,0,0,0,8.50E-05,0,8.50E-05,0.249989,1.999997,0.81544031,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);
Otu090,0.000563,1.00E-06,0.000333,8.50E-05,0,5.90E-05,0.238761,1.999997,0.81544031,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenibacterium(100);
