OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu058,0.000592,1.00E-06,0.000259,0.002648,4.00E-06,0.000692,0.000999,1.999999,0.02922075,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu092,0,0,0,0.000225,0,0.000225,0.000999,1.999999,0.02922075,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu095,0.000254,0,0.000197,0,0,0,0.000999,1.999999,0.02922075,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrionaceae_unclassified(100);
Otu204,0,0,0,0.000451,2.00E-06,0.000451,0.000999,1.999999,0.02922075,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Novosphingobium(100);
Otu040,0.002564,5.00E-06,0.000769,0.007804,5.40E-05,0.002602,0.018981,1.999999,0.4441554,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu028,2.80E-05,0,2.80E-05,0.001521,1.20E-05,0.00121,0.023976,1.999999,0.467532,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu014,0.014509,0.000164,0.004525,0.031215,0.000348,0.006598,0.041958,1.999999,0.584415,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu025,0.003268,6.00E-06,0.000895,0.010396,0.000202,0.005021,0.041958,1.999999,0.584415,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu121,0.000225,0,0.000165,0.000873,1.00E-06,0.000261,0.044955,1.999999,0.584415,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu051,2.80E-05,0,2.80E-05,0.000563,2.00E-06,0.00047,0.074925,1.999999,0.692307,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu054,0.002141,1.50E-05,0.001347,0.000254,0,0.000167,0.075924,1.999999,0.692307,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu101,5.60E-05,0,5.60E-05,0.000338,0,0.000165,0.076923,1.999999,0.692307,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu243,0,0,0,0.000141,0,8.50E-05,0.062491,1.999999,0.692307,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Proteus(100);
Otu031,0.01572,0.000322,0.00634,0.003437,8.00E-06,0.001026,0.10989,1.999999,0.8124285,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu077,0,0,0,0.000113,0,0.000113,0.124989,1.999999,0.8124285,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(100);
Otu086,0,0,0,0.000113,0,8.50E-05,0.124989,1.999999,0.8124285,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu105,0.000113,0,4.30E-05,0,0,0,0.124989,1.999999,0.8124285,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu143,0,0,0,0.000113,0,7.40E-05,0.124989,1.999999,0.8124285,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_Incertae_Sedis_XI(100);Gemella(100);
Otu123,0.001352,4.00E-06,0.000677,0.000254,0,9.00E-05,0.136863,1.999999,0.842787947,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu005,0.012255,4.70E-05,0.002425,0.01727,5.70E-05,0.002661,0.177822,1.999999,0.86688225,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu017,0.032567,0.000546,0.008258,0.018058,0.000173,0.004654,0.156843,1.999999,0.86688225,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
