OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu059,0,0,0,0.001465,1.60E-05,0.001433,0.000999,2.000008,0.022311,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu091,0,0,0,0.000507,1.00E-06,0.000272,0.000999,2.000008,0.022311,Bacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu118,0.000761,5.00E-06,0.000761,0,0,0,0.000999,2.000008,0.022311,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Lactococcus(100);
Otu134,0.00093,2.00E-06,0.000505,0,0,0,0.000999,2.000008,0.022311,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Reyranella(100);Reyranella_unclassified(100);
Otu204,0,0,0,0.000338,1.00E-06,0.000338,0.000999,2.000008,0.022311,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Novosphingobium(100);
Otu230,0,0,0,0.000338,1.00E-06,0.000338,0.000999,2.000008,0.022311,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Ezakiella(100);
Otu054,0.010987,0.000648,0.009001,0.000113,0,7.40E-05,0.001998,2.000008,0.038247429,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu024,0.001916,4.00E-06,0.000736,0.008395,4.20E-05,0.002286,0.003996,2.000008,0.066933,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu025,0.003803,6.00E-06,0.00087,0.014368,0.000121,0.003883,0.004995,2.000008,0.066933,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu058,0.000394,0,0.000146,0.005719,6.00E-05,0.002737,0.004995,2.000008,0.066933,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu057,0.004733,3.40E-05,0.00206,0.026904,0.000458,0.007565,0.00999,2.000008,0.121696364,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu103,2.80E-05,0,2.80E-05,0.000423,0,0.000215,0.016983,2.000008,0.1896435,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu012,0.001747,1.00E-06,0.000309,0.008029,0.000133,0.004081,0.028971,2.000008,0.298624154,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu214,0,0,0,0.000169,0,0.000111,0.031243,2.000008,0.299040143,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Enhydrobacter(100);
Otu022,0.016199,0.000673,0.009175,0.00138,4.00E-06,0.000742,0.062937,2.000008,0.401598,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu038,0.002676,1.50E-05,0.001388,0.013861,0.000208,0.005096,0.051948,2.000008,0.401598,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu100,0,0,0,0.000141,0,0.000141,0.062491,2.000008,0.401598,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu109,0.000141,0,0.000112,0,0,0,0.062491,2.000008,0.401598,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu126,0,0,0,0.000141,0,5.90E-05,0.062491,2.000008,0.401598,Bacteria(100);Candidatus_Saccharibacteria(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);
