OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu101,5.60E-05,0,5.60E-05,0.00058,1.00E-06,0.000423,0.235289,1.999997,0.699984775,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu041,8.50E-05,0,8.50E-05,0,0,0,0.253322,1.999997,0.721970295,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu050,5.60E-05,0,5.60E-05,0.000161,0,6.40E-05,0.263015,1.999997,0.721970295,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu055,0.001268,3.00E-06,0.000565,0.004862,6.30E-05,0.003008,0.266947,1.999997,0.721970295,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu060,0.000817,3.00E-06,0.00063,6.40E-05,0,4.20E-05,0.256908,1.999997,0.721970295,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu087,0.007888,0.000333,0.006455,0.000386,1.00E-06,0.00035,0.277224,1.999997,0.733103467,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu028,2.80E-05,0,2.80E-05,0.001352,1.00E-05,0.001171,0.292145,1.999997,0.755766413,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu005,0.012255,4.70E-05,0.002425,0.015615,5.40E-05,0.00279,0.441421,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu011,0.013917,8.60E-05,0.003276,0.019415,0.000116,0.004066,0.343789,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu019,0.016481,0.000365,0.006759,0.008468,9.70E-05,0.003729,0.352355,1.999997,0.81666725,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu035,0.001042,1.00E-06,0.000422,0.003187,2.90E-05,0.002039,0.357605,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu036,0.005634,1.80E-05,0.001503,0.004025,5.00E-06,0.000886,0.433697,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu037,2.80E-05,0,2.80E-05,9.70E-05,0,4.60E-05,0.345133,1.999997,0.81666725,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu061,0.004141,6.50E-05,0.002852,0.001384,3.00E-06,0.000619,0.421368,1.999997,0.81666725,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu064,0.002282,2.00E-06,0.000534,0.003252,6.00E-06,0.000921,0.440737,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu067,0.002141,1.30E-05,0.001253,0.000805,1.00E-06,0.000344,0.358592,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu068,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVb(100);
Otu086,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.81666725,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu088,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Howardella(100);
Otu089,0.000423,0,0.000183,0.000193,0,0.000125,0.353039,1.999997,0.81666725,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu091,5.60E-05,0,5.60E-05,0.000129,0,0.000129,0.427327,1.999997,0.81666725,Bacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu098,0,0,0,0.000515,2.00E-06,0.000515,0.373711,1.999997,0.81666725,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu120,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.81666725,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Rothia(100);
Otu125,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.81666725,Bacteria(100);Fibrobacteres(100);Fibrobacteria(100);Fibrobacterales(100);Fibrobacteraceae(100);Fibrobacter(100);
Otu131,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.81666725,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Paraeggerthella(100);
Otu153,0,0,0,3.20E-05,0,3.20E-05,0.466667,1.999997,0.81666725,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Psychrobacter(100);
