OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu028,0,0,0,0.001099,3.00E-06,0.000635,0.000999,2.000001,0.041292,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu051,0,0,0,0.001859,2.10E-05,0.001608,0.000999,2.000001,0.041292,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu092,0,0,0,0.000282,1.00E-06,0.000282,0.000999,2.000001,0.041292,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu058,0.000366,0,0.000104,0.003381,1.10E-05,0.001199,0.005994,2.000001,0.185814,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu003,0.217574,0.011477,0.037876,0.086883,0.004494,0.023702,0.00999,2.000001,0.247752,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu017,0.021185,0.000396,0.007033,0.003522,3.30E-05,0.002025,0.018981,2.000001,0.392274,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu022,0.000479,0,0.000231,0.004733,7.80E-05,0.00313,0.060939,2.000001,0.7804188,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu025,0.001803,5.00E-06,0.000804,0.006789,7.50E-05,0.003061,0.044955,2.000001,0.7804188,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu032,0.002592,5.00E-06,0.000773,0.009579,0.000109,0.003684,0.062937,2.000001,0.7804188,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu129,0,0,0,0.000141,0,0.000141,0.062491,2.000001,0.7804188,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Sporobacter(100);
Otu004,0.015495,5.20E-05,0.00256,0.022341,0.000124,0.003938,0.160839,2.000001,0.79776144,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu005,0.012706,3.80E-05,0.00219,0.021693,0.000239,0.005468,0.13986,2.000001,0.79776144,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu011,0.015523,9.00E-05,0.003357,0.007945,3.30E-05,0.002033,0.08991,2.000001,0.79776144,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu014,0.004,2.50E-05,0.001767,0.011241,0.000173,0.004653,0.15984,2.000001,0.79776144,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu019,0.021045,0.00033,0.006419,0.064937,0.005209,0.025518,0.151848,2.000001,0.79776144,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu023,0.019016,0.00033,0.006419,0.032229,0.000262,0.005721,0.128871,2.000001,0.79776144,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu026,0.003747,4.90E-05,0.002464,0.013776,0.000324,0.006367,0.150849,2.000001,0.79776144,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu040,0.003719,1.30E-05,0.001254,0.012001,0.000218,0.005225,0.110889,2.000001,0.79776144,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu047,0.005634,2.40E-05,0.001727,0.002648,3.00E-06,0.000618,0.106893,2.000001,0.79776144,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu054,0.000789,1.00E-06,0.000301,0.000338,0,0.000113,0.158841,2.000001,0.79776144,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu065,0.000507,1.00E-06,0.000258,0.001296,1.00E-06,0.000399,0.147852,2.000001,0.79776144,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);
Otu089,8.50E-05,0,4.10E-05,0.000282,0,0.000126,0.096903,2.000001,0.79776144,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu098,5.60E-05,0,5.60E-05,0.000423,0,0.000235,0.102897,2.000001,0.79776144,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu100,0,0,0,0.000113,0,8.50E-05,0.124989,2.000001,0.79776144,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu121,0.000169,0,8.20E-05,0.000648,1.00E-06,0.000271,0.127872,2.000001,0.79776144,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu009,0.000958,1.00E-06,0.000376,0.002113,4.00E-06,0.000745,0.182817,2.000001,0.831738857,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu010,0.005353,1.00E-05,0.001127,0.011748,0.000158,0.004448,0.186813,2.000001,0.831738857,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu031,0.001747,3.00E-06,0.000569,0.000902,1.00E-06,0.000269,0.187812,2.000001,0.831738857,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu008,0.001352,2.00E-06,0.000557,0.002254,1.00E-06,4.00E-04,0.201798,2.000001,0.8340984,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu123,0.002451,2.90E-05,0.001904,0.000169,0,0.000111,0.196803,2.000001,0.8340984,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Oxalobacteraceae_unclassified(100);
Otu049,0.001409,3.00E-06,0.000599,0.003268,1.30E-05,0.001286,0.217782,2.000001,0.861073222,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Eubacterium(100);
Otu057,8.50E-05,0,5.90E-05,0,0,0,0.249989,2.000001,0.861073222,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu074,0,0,0,8.50E-05,0,8.50E-05,0.249989,2.000001,0.861073222,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);
Otu114,0,0,0,8.50E-05,0,5.90E-05,0.249989,2.000001,0.861073222,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);
Otu136,0,0,0,8.50E-05,0,8.50E-05,0.249989,2.000001,0.861073222,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcaceae_unclassified(100);
Otu214,0,0,0,8.50E-05,0,5.90E-05,0.249989,2.000001,0.861073222,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Enhydrobacter(100);
Otu130,0.000282,0,0.00014,0.000141,0,7.30E-05,0.263736,2.000001,0.883872,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu002,0.125761,0.012588,0.039667,0.196557,0.021523,0.051869,0.300699,2.000001,0.908424,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu006,0.015861,0.000119,0.003851,0.02265,0.000184,0.004796,0.298701,2.000001,0.908424,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu013,0.006226,0.00012,0.003879,0.01896,0.000928,0.010772,0.280719,2.000001,0.908424,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu018,0.00355,1.20E-05,0.001233,0.005747,2.20E-05,0.001675,0.307692,2.000001,0.908424,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu043,0.001747,0,0.000189,0.002366,2.00E-06,0.000487,0.295704,2.000001,0.908424,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu020,0.004085,1.50E-05,0.001363,0.007128,6.10E-05,0.002771,0.356643,2.000001,0.940930468,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu046,0.000113,0,6.00E-05,0.000225,0,0.000113,0.333666,2.000001,0.940930468,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu061,0.007409,0.00017,0.004607,0.002423,6.00E-06,0.000893,0.353646,2.000001,0.940930468,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu071,0.000197,0,7.90E-05,8.50E-05,0,4.10E-05,0.343715,2.000001,0.940930468,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu076,0.001211,1.00E-06,0.000428,0.000704,1.00E-06,0.000326,0.344655,2.000001,0.940930468,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu007,0.1472,0.007158,0.029912,0.117112,0.008556,0.032702,0.51049,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu015,5.60E-05,0,3.70E-05,0.000141,0,8.50E-05,0.453102,2.000001,0.944787463,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu036,0.005803,4.60E-05,0.002404,0.003493,1.80E-05,0.0015,0.486513,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu037,0.000169,0,8.20E-05,8.50E-05,0,5.90E-05,0.507785,2.000001,0.944787463,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu052,5.60E-05,0,5.60E-05,0,0,0,0.499993,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu053,0.001803,2.00E-06,0.000511,0.00124,1.00E-06,0.000256,0.425574,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu063,0,0,0,5.60E-05,0,5.60E-05,0.499993,2.000001,0.944787463,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);
Otu067,0.006846,0.000143,0.004233,0.002592,5.00E-06,0.000768,0.455544,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu070,0,0,0,5.60E-05,0,3.70E-05,0.499993,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Clostridiales_Incertae_Sedis_XIII_unclassified(100);
Otu073,0.000197,0,6.60E-05,0.00031,0,0.000104,0.417582,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu079,0.000789,2.00E-06,0.000493,0.000282,0,0.000111,0.432567,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu087,0.000338,0,0.000237,2.80E-05,0,2.80E-05,0.377622,2.000001,0.944787463,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu088,5.60E-05,0,3.70E-05,0,0,0,0.499993,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Howardella(100);
Otu094,5.60E-05,0,5.60E-05,0,0,0,0.499993,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Turicibacter(100);
Otu103,0.000282,0,0.000152,0.000592,1.00E-06,0.000388,0.415584,2.000001,0.944787463,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
