OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu061,0.002057,9.00E-06,0.001051,0.001803,3.00E-06,0.00068,0.889747,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu062,8.50E-05,0,8.50E-05,6.40E-05,0,4.20E-05,1,1.999997,1,Bacteria(100);Proteobacteria(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);Proteobacteria_unclassified(100);
Otu063,0.000254,0,0.000223,0.00029,0,0.000137,0.92356,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);
Otu064,0.005606,3.40E-05,0.002071,0.005538,1.50E-05,0.001479,0.981747,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu065,0.001127,1.00E-06,0.000335,0.001513,1.00E-06,0.000461,0.635077,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);
Otu067,0.002761,4.00E-06,0.000692,0.003316,2.90E-05,0.002031,0.864912,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu070,8.50E-05,0,4.10E-05,0.000225,0,0.000225,0.666505,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Clostridiales_Incertae_Sedis_XIII_unclassified(100);
Otu071,0.000563,1.00E-06,0.000313,0.000451,0,0.00019,0.839868,1.999997,1,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu076,0.00031,0,7.30E-05,0.000805,3.00E-06,0.000622,0.575648,1.999997,1,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu078,0.000507,0,0.000216,0.000419,0,0.000115,0.808857,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
Otu080,2.80E-05,0,2.80E-05,0,0,0,1,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcaceae_unclassified(100);
Otu083,0.005747,4.20E-05,0.002281,0.008242,0.00019,0.005211,0.766242,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);
Otu085,2.80E-05,0,2.80E-05,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Sutterella(100);
Otu089,0.000141,0,4.10E-05,0.000161,0,9.50E-05,1,1.999997,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu090,0.00031,0,0.00019,0.000322,0,0.000183,0.974198,1.999997,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenibacterium(100);
Otu092,0.000423,1.00E-06,0.000423,0.001127,8.00E-06,0.00109,0.673505,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu102,0.000282,0,9.30E-05,0.000451,0,0.00017,0.53122,1.999997,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Slackia(100);
Otu111,2.80E-05,0,2.80E-05,0,0,0,1,1.999997,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonas(100);
Otu114,2.80E-05,0,2.80E-05,6.40E-05,0,4.20E-05,0.601771,1.999997,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);
Otu116,2.80E-05,0,2.80E-05,0,0,0,1,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Pseudoflavonifractor(100);
Otu121,0.000648,2.00E-06,0.00049,0.000676,1.00E-06,0.000269,0.972286,1.999997,1,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu122,2.80E-05,0,2.80E-05,0,0,0,1,1.999997,1,Bacteria(100);Lentisphaerae(100);Lentisphaeria(100);Victivallales(100);Victivallaceae(100);Victivallis(100);
Otu126,5.60E-05,0,5.60E-05,6.40E-05,0,4.20E-05,1,1.999997,1,Bacteria(100);Candidatus_Saccharibacteria(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);
Otu130,0.000479,1.00E-06,0.000284,0.000354,0,0.000146,0.794044,1.999997,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu136,2.80E-05,0,2.80E-05,3.20E-05,0,3.20E-05,1,1.999997,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcaceae_unclassified(100);
Otu159,2.80E-05,0,2.80E-05,0,0,0,1,1.999997,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Selenomonadales_unclassified(100);Selenomonadales_unclassified(100);
Otu162,8.50E-05,0,8.50E-05,3.20E-05,0,3.20E-05,0.628315,1.999997,1,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetales_unclassified(100);Spirochaetales_unclassified(100);
Otu171,2.80E-05,0,2.80E-05,0,0,0,1,1.999997,1,Bacteria(100);Bacteroidetes(100);Cytophagia(100);Cytophagales(100);Cytophagaceae(100);Cytophagaceae_unclassified(100);
Otu204,2.80E-05,0,2.80E-05,0,0,0,1,1.999997,1,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Novosphingobium(100);
Otu230,2.80E-05,0,2.80E-05,0,0,0,1,1.999997,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Ezakiella(100);
