OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu001,0.455,0.033366,0.074572,0.307002,0.042133,0.083798,0.206329,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu005,0.001878,3.00E-06,0.00071,0.009053,6.50E-05,0.003299,0.022314,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu016,0.00323,1.70E-05,0.001687,0.000751,2.00E-06,0.000513,0.174757,2.000019,0.942804343,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu017,0.001953,5.00E-06,0.000872,0.000338,0,0.000127,0.0501,2.000019,0.942804343,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu020,0.016565,0.000336,0.007485,0.005785,5.80E-05,0.003112,0.200829,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu027,0.00015,0,4.80E-05,0.000601,0,0.000251,0.056029,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu028,0.011119,0.00016,0.005162,0.095072,0.019626,0.057193,0.158057,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu032,0.000188,0,0.000108,3.80E-05,0,3.80E-05,0.218724,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu035,0.048268,0.001216,0.014238,0.01788,0.000349,0.007632,0.046257,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu042,0.000301,0,0.000161,3.80E-05,0,3.80E-05,0.097971,2.000019,0.942804343,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu043,0.00015,0,0.000111,0.000676,0,0.000225,0.023629,2.000019,0.942804343,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu046,0.000263,0,0.000147,3.80E-05,0,3.80E-05,0.151057,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu047,0.000113,0,0.000113,0,0,0,0.249986,2.000019,0.942804343,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu051,0.007212,0.000253,0.006499,0.033168,0.001383,0.015183,0.103614,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu055,0.004132,1.90E-05,0.00179,0.001089,1.00E-06,0.000346,0.081257,2.000019,0.942804343,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu058,0.001465,4.00E-06,0.000829,0.000113,0,0.000113,0.094371,2.000019,0.942804343,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu061,0.006987,2.30E-05,0.001977,0.012433,7.30E-05,0.0035,0.193114,2.000019,0.942804343,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Pseudoscardovia(100);
Otu070,3.80E-05,0,3.80E-05,0.000902,1.00E-06,0.00049,0.060043,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Clostridiales_Incertae_Sedis_XIII_unclassified(100);
Otu074,0,0,0,0.000338,0,0.000216,0.104743,2.000019,0.942804343,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);
Otu076,0.000113,0,7.70E-05,0,0,0,0.249986,2.000019,0.942804343,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu079,0.001465,5.00E-06,0.000869,0.000225,0,0.000101,0.171429,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu082,3.80E-05,0,3.80E-05,0.000263,0,0.000122,0.056243,2.000019,0.942804343,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Spirochaetaceae_unclassified(100);
Otu085,0.000113,0,0.000113,0,0,0,0.249986,2.000019,0.942804343,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Sutterella(100);
Otu092,0.000113,0,0.000113,0.011306,0.000321,0.007318,0.126629,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu096,0.000413,1.00E-06,0.000299,0,0,0,0.184129,2.000019,0.942804343,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Synergistes(100);
Otu106,0.001014,4.00E-06,0.000841,0,0,0,0.247857,2.000019,0.942804343,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu113,0.000488,1.00E-06,0.000321,0,0,0,0.130957,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Bacilli(100);Bacilli_unclassified(100);Bacilli_unclassified(100);Bacilli_unclassified(100);
Otu132,0.00015,0,0.000111,0,0,0,0.124986,2.000019,0.942804343,Bacteria(100);Chlamydiae(100);Chlamydiia(100);Chlamydiales(100);Chlamydiaceae(100);Chlamydia(100);
Otu134,0,0,0,0.000113,0,7.70E-05,0.249986,2.000019,0.942804343,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Reyranella(100);Reyranella_unclassified(100);
Otu158,0.000188,0,0.000122,0,0,0,0.062488,2.000019,0.942804343,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Deltaproteobacteria_unclassified(100);Deltaproteobacteria_unclassified(100);Deltaproteobacteria_unclassified(100);
Otu166,0.00015,0,0.000111,0,0,0,0.124986,2.000019,0.942804343,Bacteria(100);Chlamydiae(100);Chlamydiia(100);Chlamydiales(100);Chlamydiales_unclassified(100);Chlamydiales_unclassified(100);
Otu205,0.000113,0,0.000113,0,0,0,0.249986,2.000019,0.942804343,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Acetobacteraceae(100);Acetobacter(100);
Otu225,0,0,0,0.000113,0,0.000113,0.249986,2.000019,0.942804343,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Planococcaceae(100);Lysinibacillus(100);
Otu246,0.000639,1.00E-06,0.000429,0,0,0,0.144129,2.000019,0.942804343,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Methylophilales(100);Methylophilaceae(100);Methylophilus(100);
Otu273,0.000526,1.00E-06,0.000338,0,0,0,0.114771,2.000019,0.942804343,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Brachymonas(100);
Otu139,0.000263,0,0.000221,0,0,0,0.260614,2.000019,0.955584667,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Haemophilus(100);
Otu038,0.001127,3.00E-06,0.00075,0.000225,0,0.000116,0.272657,2.000019,0.97272227,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100);
Otu045,3.80E-05,0,3.80E-05,0.000338,0,0.000259,0.295386,2.000019,0.9747738,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu098,0.000376,0,0.00015,0.000751,1.00E-06,0.000289,0.291143,2.000019,0.9747738,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu266,0.000902,4.00E-06,0.000774,0,0,0,0.2828,2.000019,0.9747738,Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Sphingobacteriaceae(100);Sphingobacterium(100);
