OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu002,0.264046,0.010618,0.038947,0.110371,0.002153,0.01754,0.000815,1.999991,0.10106,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu001,0.135548,0.002986,0.020655,0.285618,0.01439,0.04534,0.003753,1.999991,0.232686,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu003,0.097106,0.003304,0.021724,0.044174,0.000571,0.009032,0.022951,1.999991,0.3874008,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu017,0.028881,0.000848,0.011006,0.00425,7.00E-06,0.001025,0.024741,1.999991,0.3874008,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu023,0.017193,3.70E-05,0.002294,0.037702,0.000572,0.009043,0.026358,1.999991,0.3874008,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu034,0.002028,3.00E-06,0.00062,0.01671,0.000239,0.005841,0.013704,1.999991,0.3874008,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu057,0,0,0,0.000515,0,0.000207,0.01416,1.999991,0.3874008,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu075,0.000193,0,0.000134,0,0,0,0.031242,1.999991,0.3874008,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu105,0,0,0,0.000193,0,0.000103,0.031242,1.999991,0.3874008,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu130,3.20E-05,0,3.20E-05,0.000354,0,0.000146,0.029123,1.999991,0.3874008,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu020,0.009756,4.30E-05,0.00248,0.003767,1.80E-05,0.001588,0.039235,1.999991,0.442285455,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu046,0.000161,0,6.40E-05,0.000612,0,0.00024,0.059802,1.999991,0.553482857,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu063,3.20E-05,0,3.20E-05,0.00029,0,0.000137,0.056444,1.999991,0.553482857,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);
Otu069,0,0,0,0.000161,0,0.000127,0.06249,1.999991,0.553482857,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
