OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu006,0.014988,9.90E-05,0.003517,0.031746,9.60E-05,0.003703,0.002457,1.999997,0.215583333,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu045,0.032257,0.000796,0.009973,0.001256,2.00E-06,0.000508,0.003593,1.999997,0.215583333,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu058,0.000873,1.00E-06,0.000387,0.007953,3.90E-05,0.002362,0.004975,1.999997,0.215583333,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu003,0.1996,0.016414,0.045296,0.066744,0.003055,0.02089,0.010259,1.999997,0.288621667,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu004,0.024313,0.000179,0.004729,0.040149,0.000111,0.003981,0.01258,1.999997,0.288621667,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu020,0.00293,6.00E-06,0.00085,0.008275,2.60E-05,0.001925,0.013321,1.999997,0.288621667,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu040,0.002676,5.00E-06,0.000818,0.005763,7.00E-06,0.000965,0.016296,1.999997,0.30264,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu010,0.015523,0.000391,0.006995,0.035159,0.000454,0.008057,0.064691,1.999997,0.560655333,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu011,0.010931,8.40E-05,0.003241,0.018706,4.60E-05,0.00257,0.057901,1.999997,0.560655333,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu025,0.006142,4.60E-05,0.002399,0.015132,0.000121,0.004163,0.058926,1.999997,0.560655333,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu032,0.002817,1.80E-05,0.001516,0.008822,4.40E-05,0.002507,0.039765,1.999997,0.560655333,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu055,0.000394,0,0.000189,0.002801,1.10E-05,0.001245,0.053704,1.999997,0.560655333,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu057,0.018847,0.00016,0.004469,0.008371,6.40E-05,0.003016,0.050432,1.999997,0.560655333,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu076,0.000254,0,0.000138,0.001642,3.00E-06,0.000688,0.046272,1.999997,0.560655333,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
