OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu087,0.019833,0.000895,0.010578,0.00324,6.40E-05,0.002828,0.167832,2.000005,0.8727264,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu001,0.051414,0.002092,0.016172,0.075248,0.005948,0.027268,0.451548,2.000005,0.896806757,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu004,0.024313,0.000179,0.004729,0.030567,7.20E-05,0.002994,0.28971,2.000005,0.896806757,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu005,0.014114,3.90E-05,0.002218,0.020115,0.000106,0.003646,0.191808,2.000005,0.896806757,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu006,0.014988,9.90E-05,0.003517,0.018932,3.10E-05,0.001966,0.331668,2.000005,0.896806757,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu007,0.04716,0.001298,0.012736,0.08046,0.003753,0.02166,0.204795,2.000005,0.896806757,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu008,0.00355,1.40E-05,0.001345,0.011522,0.000353,0.006639,0.210789,2.000005,0.896806757,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu012,0.004817,6.50E-05,0.002855,0.008029,0.000133,0.004081,0.51049,2.000005,0.896806757,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu013,0.000958,2.00E-06,0.000436,0.003803,5.40E-05,0.002594,0.325674,2.000005,0.896806757,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu014,0.013269,0.000209,0.005112,0.020566,0.000251,0.005598,0.335664,2.000005,0.896806757,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu015,0.000479,0,0.000243,0.001183,3.00E-06,0.00063,0.367632,2.000005,0.896806757,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu016,0.011973,9.70E-05,0.003476,0.039413,0.003114,0.01973,0.206793,2.000005,0.896806757,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu017,0.026228,0.000575,0.008481,0.017298,0.00014,0.004183,0.373626,2.000005,0.896806757,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
