OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu036,0.003522,5.00E-06,0.000759,0.004862,1.00E-05,0.001198,0.489384,2,0.810344,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu039,5.60E-05,0,5.60E-05,0,0,0,0.502215,2,0.810344,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotellaceae_unclassified(100);
Otu052,0.006085,0.000293,0.006053,0.000322,0,0.00025,0.482826,2,0.810344,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu093,8.50E-05,0,5.90E-05,0.000161,0,0.000127,0.48578,2,0.810344,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu185,5.60E-05,0,5.60E-05,0,0,0,0.502215,2,0.810344,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Rhizobiaceae(100);Rhizobiaceae_unclassified(100);
Otu079,0.000113,0,7.40E-05,0.000193,0,0.000134,0.530083,2,0.838270791,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu122,0.000282,1.00E-06,0.000282,3.20E-05,0,3.20E-05,0.539163,2,0.842829517,Bacteria(100);Lentisphaerae(100);Lentisphaeria(100);Victivallales(100);Victivallaceae(100);Victivallis(100);
Otu050,0.001719,2.30E-05,0.001687,0.000258,0,9.10E-05,0.551919,2,0.845353079,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu069,0.004169,0.000135,0.004105,0.000612,1.00E-06,0.000434,0.553209,2,0.845353079,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu085,0.000648,1.00E-06,0.000314,0.001062,1.00E-06,0.000377,0.566035,2,0.855341778,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Sutterella(100);
Otu002,0.230899,0.013378,0.040893,0.263563,0.003588,0.02264,0.640372,2,0.889617448,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu003,0.090348,0.005239,0.02559,0.066744,0.003055,0.02089,0.633035,2,0.889617448,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu004,0.035441,0.000273,0.005846,0.040149,0.000111,0.003981,0.654395,2,0.889617448,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu018,0.003071,3.00E-06,0.000629,0.00396,1.20E-05,0.00131,0.684593,2,0.889617448,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu019,0.012847,0.000338,0.006499,0.007631,8.50E-05,0.003485,0.636012,2,0.889617448,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu021,0.003465,1.50E-05,0.001389,0.004991,2.50E-05,0.001898,0.66414,2,0.889617448,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu022,0.016199,0.000673,0.009175,0.009208,0.000292,0.006462,0.67914,2,0.889617448,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu023,0.009297,0.00015,0.004331,0.012074,1.50E-05,0.001465,0.686837,2,0.889617448,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu035,0.000986,2.00E-06,0.000436,0.002157,1.50E-05,0.001479,0.612977,2,0.889617448,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu056,5.60E-05,0,5.60E-05,9.70E-05,0,6.70E-05,0.669612,2,0.889617448,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);
Otu064,0.00586,0.000106,0.003637,0.003381,3.00E-06,0.000645,0.651953,2,0.889617448,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu065,0.001127,1.00E-06,0.000349,0.001417,0,0.000213,0.634895,2,0.889617448,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);
Otu084,0.000958,2.00E-06,0.000532,0.000483,1.00E-06,0.000309,0.604988,2,0.889617448,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);
Otu114,5.60E-05,0,3.70E-05,9.70E-05,0,6.70E-05,0.669612,2,0.889617448,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);
Otu152,0.000141,0,9.50E-05,0.000225,0,8.50E-05,0.655965,2,0.889617448,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Eggerthella(100);
Otu006,0.028003,0.000286,0.005978,0.031746,9.60E-05,0.003703,0.721535,2,0.925743019,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
