OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu126,0,0,0,6.40E-05,0,6.40E-05,0.217774,2,0.765595378,Bacteria(100);Candidatus_Saccharibacteria(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);
Otu130,0.000761,2.00E-06,0.000534,6.40E-05,0,4.20E-05,0.180279,2,0.765595378,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu134,0.00093,2.00E-06,0.000505,0.000129,0,9.70E-05,0.108465,2,0.765595378,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Reyranella(100);Reyranella_unclassified(100);
Otu137,0,0,0,9.70E-05,0,4.60E-05,0.101624,2,0.765595378,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Parasutterella(100);
Otu138,0.000113,0,0.000113,0,0,0,0.128325,2,0.765595378,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
Otu141,8.50E-05,0,5.90E-05,0,0,0,0.253322,2,0.765595378,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurella(100);
Otu160,0,0,0,6.40E-05,0,6.40E-05,0.217774,2,0.765595378,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiales_incertae_sedis(100);Aquabacterium(100);
Otu162,0,0,0,6.40E-05,0,6.40E-05,0.217774,2,0.765595378,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetales_unclassified(100);Spirochaetales_unclassified(100);
Otu194,0.000141,0,0.000141,0,0,0,0.065274,2,0.765595378,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Ralstonia(100);
Otu230,0,0,0,0.000225,0,0.00019,0.217442,2,0.765595378,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Ezakiella(100);
Otu007,0.094518,0.003079,0.019617,0.068096,0.001295,0.013604,0.264767,2,0.766134298,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu081,5.60E-05,0,5.60E-05,0.000161,0,8.10E-05,0.263015,2,0.766134298,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridiaceae_1_unclassified(100);
Otu054,0.010987,0.000648,0.009001,0.001159,3.00E-06,0.000675,0.276733,2,0.784076833,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu024,0.001916,4.00E-06,0.000736,0.000966,2.00E-06,0.000508,0.291767,2,0.788032,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu067,0.004817,0.000117,0.003819,0.000708,1.00E-06,0.000366,0.287174,2,0.788032,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu080,0.000113,0,4.30E-05,0.000354,0,0.000225,0.295512,2,0.788032,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcaceae_unclassified(100);
Otu013,0.002395,1.00E-05,0.001096,0.001223,1.00E-06,0.000448,0.446384,2,0.810195038,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
