OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu134,0.009128,0.000443,0.008596,0.000113,0,0.000113,0.314808,2.000021,0.700558648,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Reyranella(100);Reyranella_unclassified(100);
Otu006,0.113478,0.055933,0.096552,0.016753,8.60E-05,0.003787,0.350283,2.000021,0.701491446,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu042,7.50E-05,0,7.50E-05,0.001127,6.00E-06,0.001039,0.340737,2.000021,0.701491446,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu063,0,0,0,0.000338,1.00E-06,0.000338,0.368505,2.000021,0.701491446,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Butyricimonas(100);
Otu074,0,0,0,0.000451,1.00E-06,0.000451,0.351768,2.000021,0.701491446,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);
Otu076,0,0,0,0.000301,1.00E-06,0.000301,0.351768,2.000021,0.701491446,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu107,0,0,0,0.001089,7.00E-06,0.001089,0.368505,2.000021,0.701491446,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);
Otu109,0.00725,0.000285,0.006892,0.000263,0,0.000108,0.336141,2.000021,0.701491446,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu119,0,0,0,0.000601,2.00E-06,0.000601,0.351768,2.000021,0.701491446,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Leptotrichiaceae(100);Leptotrichiaceae_unclassified(100);
Otu128,0,0,0,0.000225,0,0.000225,0.351768,2.000021,0.701491446,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);
Otu201,0,0,0,0.000714,3.00E-06,0.000714,0.368505,2.000021,0.701491446,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Legionellales(100);Legionellaceae(100);Legionella(100);
Otu202,0.000301,1.00E-06,0.000301,0,0,0,0.368505,2.000021,0.701491446,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptoniphilaceae(100);Peptoniphilaceae_unclassified(100);
Otu226,0,0,0,0.001427,1.20E-05,0.001427,0.368505,2.000021,0.701491446,Bacteria(100);Tenericutes(100);Mollicutes(100);Mycoplasmatales(100);Mycoplasmataceae(100);Mycoplasma(100);
Otu121,3.80E-05,0,3.80E-05,0.00015,0,0.000111,0.374977,2.000021,0.705313881,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu001,0.392345,0.100143,0.129192,0.234543,0.051868,0.092976,0.477535,2.000021,0.780800373,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu027,0,0,0,7.50E-05,0,7.50E-05,0.499991,2.000021,0.780800373,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu060,7.50E-05,0,4.80E-05,0.000188,0,9.00E-05,0.453094,2.000021,0.780800373,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu071,0,0,0,0.000413,1.00E-06,0.000413,0.452475,2.000021,0.780800373,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu077,0,0,0,7.50E-05,0,7.50E-05,0.499991,2.000021,0.780800373,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(100);
Otu103,0,0,0,7.50E-05,0,4.80E-05,0.499991,2.000021,0.780800373,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu108,3.80E-05,0,3.80E-05,0.000789,4.00E-06,0.000789,0.504061,2.000021,0.780800373,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Faecalicoccus(100);
Otu115,7.50E-05,0,4.80E-05,0,0,0,0.499991,2.000021,0.780800373,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Acetivibrio(100);
Otu163,0,0,0,0.000526,2.00E-06,0.000526,0.452475,2.000021,0.780800373,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcus(100);
Otu167,0,0,0,7.50E-05,0,7.50E-05,0.499991,2.000021,0.780800373,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Variovorax(100);
Otu170,7.50E-05,0,7.50E-05,0,0,0,0.499991,2.000021,0.780800373,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Trueperella(100);
Otu175,0,0,0,7.50E-05,0,7.50E-05,0.499991,2.000021,0.780800373,Bacteria(100);Verrucomicrobia(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(100);Akkermansia(100);
Otu182,7.50E-05,0,7.50E-05,0,0,0,0.499991,2.000021,0.780800373,Bacteria(100);Planctomycetes(100);Planctomycetia(100);Planctomycetales(100);Planctomycetaceae(100);Planctomycetaceae_unclassified(100);
Otu231,0,0,0,7.50E-05,0,7.50E-05,0.499991,2.000021,0.780800373,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);Brevundimonas(100);
Otu237,7.50E-05,0,7.50E-05,0,0,0,0.499991,2.000021,0.780800373,Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Chitinophagaceae(100);Chitinophagaceae_unclassified(100);
Otu242,7.50E-05,0,7.50E-05,0,0,0,0.499991,2.000021,0.780800373,Bacteria(100);Bacteroidetes(100);Cytophagia(100);Cytophagales(100);Cytophagales_unclassified(100);Cytophagales_unclassified(100);
Otu255,0,0,0,0.000263,0,0.000263,0.452475,2.000021,0.780800373,Bacteria(100);Verrucomicrobia(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(100);Verrucomicrobiaceae_unclassified(100);
Otu260,0,0,0,7.50E-05,0,7.50E-05,0.499991,2.000021,0.780800373,Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);Cloacibacterium(100);
Otu007,0.023627,0.001109,0.013594,0.038464,0.000448,0.008644,0.532677,2.000021,0.811208462,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu139,0.000301,0,0.000258,0.001202,5.00E-06,0.000948,0.53396,2.000021,0.811208462,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Haemophilus(100);
Otu019,0.019232,0.000335,0.007473,0.035948,0.001789,0.017267,0.54603,2.000021,0.817793094,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu079,0.000413,1.00E-06,0.000331,0.000113,0,7.70E-05,0.548646,2.000021,0.817793094,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Sharpea(100);
Otu073,7.50E-05,0,4.80E-05,0.000338,1.00E-06,0.000295,0.553889,2.000021,0.817892168,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu049,0.00015,0,0.00015,0.000301,0,9.50E-05,0.580152,2.000021,0.848740889,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(100);Eubacterium(100);
Otu104,0.000113,0,7.70E-05,0.000714,3.00E-06,0.000714,0.587545,2.000021,0.851670734,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiales_unclassified(100);Burkholderiales_unclassified(100);
Otu009,0.000301,0,0.000181,0.000639,1.00E-06,0.000375,0.605778,2.000021,0.870117491,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu028,0.004583,1.30E-05,0.001456,0.007625,0.000131,0.004679,0.684869,2.000021,0.974858577,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu056,0.000263,0,0.000147,0.000601,2.00E-06,0.000557,0.699232,2.000021,0.986416571,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);
Otu013,0.066111,0.010352,0.041537,0.058636,0.008251,0.037083,0.923374,2.000021,1,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu015,0.00015,0,7.50E-05,0.000263,0,0.000221,0.747051,2.000021,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu024,0.001765,4.00E-06,0.000848,0.00278,3.60E-05,0.002437,0.795343,2.000021,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu026,0.037563,0.006051,0.031757,0.037112,0.003823,0.025244,0.976505,2.000021,1,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu035,0.022575,0.001082,0.013427,0.020622,0.000864,0.012002,0.935384,2.000021,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu037,0.000113,0,0.000113,7.50E-05,0,4.80E-05,1,2.000021,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu050,0,0,0,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu052,0,0,0,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu055,0.00124,1.00E-06,0.000434,0.001503,3.00E-06,0.000738,0.833131,2.000021,1,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu059,3.80E-05,0,3.80E-05,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu069,0,0,0,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu070,0.002254,1.10E-05,0.001354,0.00154,9.00E-06,0.001232,0.796364,2.000021,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Clostridiales_Incertae_Sedis_XIII_unclassified(100);
Otu072,0,0,0,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu087,0.000263,0,0.000135,0.000376,0,0.000207,0.758879,2.000021,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu088,3.80E-05,0,3.80E-05,0,0,0,1,2.000021,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Howardella(100);
Otu089,0,0,0,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu090,0,0,0,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenibacterium(100);
Otu091,7.50E-05,0,7.50E-05,7.50E-05,0,7.50E-05,1,2.000021,1,Bacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu096,0.000301,1.00E-06,0.000301,0.000263,0,0.000188,0.937192,2.000021,1,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Synergistes(100);
Otu097,0,0,0,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);
Otu100,3.80E-05,0,3.80E-05,0,0,0,1,2.000021,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu101,3.80E-05,0,3.80E-05,7.50E-05,0,4.80E-05,1,2.000021,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Anaerostipes(100);
Otu105,0,0,0,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu106,0.002104,1.50E-05,0.00156,0.002066,1.50E-05,0.001589,0.975475,2.000021,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu110,3.80E-05,0,3.80E-05,0,0,0,1,2.000021,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100);
Otu111,0,0,0,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonas(100);
Otu116,0.000601,2.00E-06,0.000513,0.000864,3.00E-06,0.000654,0.829677,2.000021,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Pseudoflavonifractor(100);
Otu120,0,0,0,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Rothia(100);
Otu130,7.50E-05,0,7.50E-05,7.50E-05,0,7.50E-05,1,2.000021,1,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu132,0.000977,6.00E-06,0.000977,0.000488,0,0.000256,0.746556,2.000021,1,Bacteria(100);Chlamydiae(100);Chlamydiia(100);Chlamydiales(100);Chlamydiaceae(100);Chlamydia(100);
Otu137,7.50E-05,0,7.50E-05,3.80E-05,0,3.80E-05,1,2.000021,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Sutterellaceae(100);Parasutterella(100);
Otu138,0.000188,0,9.00E-05,0.000225,0,0.000143,0.871354,2.000021,1,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
