OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu035,0.015197,0.000519,0.008607,0.048268,0.001216,0.014238,0.025058,2.000005,0.7868212,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu041,0.001674,4.00E-06,0.000768,7.50E-05,0,7.50E-05,0.018826,2.000005,0.7868212,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu043,0.000773,0,0.000255,0.00015,0,0.000111,0.013198,2.000005,0.7868212,Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);
Otu054,0.079429,0.008877,0.035611,0.005221,5.00E-05,0.002895,0.018674,2.000005,0.7868212,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu098,6.40E-05,0,4.20E-05,0.000376,0,0.00015,0.02414,2.000005,0.7868212,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu065,0.000193,0,0.000159,0,0,0,0.034032,2.000005,0.890504,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);
Otu001,0.39367,0.082375,0.10848,0.455,0.033366,0.074572,0.793488,2.000005,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.043884,0.008117,0.034053,0.063031,0.003502,0.024159,0.796267,2.000005,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu003,0.010979,0.000297,0.00651,0.012433,6.10E-05,0.003199,0.919116,2.000005,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu004,0.005473,0.000123,0.004199,0.002479,1.70E-05,0.001685,0.692314,2.000005,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu005,0.005409,6.10E-05,0.002957,0.001878,3.00E-06,0.00071,0.263267,2.000005,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu006,0.012267,0.000547,0.008841,0.005747,6.70E-05,0.003348,0.67357,2.000005,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu007,0.062397,0.002727,0.019739,0.111149,0.00526,0.029609,0.151651,2.000005,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu008,0.0019,1.10E-05,0.001245,0.000714,1.00E-06,0.000463,0.504058,2.000005,1,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu009,0.000644,1.00E-06,0.000438,0.000225,0,0.000143,0.483163,2.000005,1,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu010,0.00322,3.30E-05,0.002169,0.001164,3.00E-06,0.000677,0.488151,2.000005,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu011,0.00322,3.00E-05,0.002055,0.000826,1.00E-06,0.000422,0.282942,2.000005,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu012,0.002318,3.80E-05,0.002318,0.000413,0,0.000288,0.584105,2.000005,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);
Otu013,0.060047,0.008703,0.03526,0.073849,0.002371,0.01988,0.8555,2.000005,1,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu014,0.002962,4.50E-05,0.002526,0.001653,1.00E-05,0.001298,0.795488,2.000005,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu015,0.001191,1.00E-05,0.001191,0.000225,0,0.000225,0.592058,2.000005,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu016,0.007212,0.000255,0.006036,0.00323,1.70E-05,0.001687,0.708093,2.000005,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu017,0.003381,5.30E-05,0.002749,0.001953,5.00E-06,0.000872,0.780581,2.000005,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu018,0.000998,6.00E-06,0.000891,0.000526,1.00E-06,0.000442,0.789628,2.000005,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu019,0.028848,0.000494,0.008399,0.05101,0.000828,0.011749,0.104233,2.000005,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu020,0.005667,7.90E-05,0.003366,0.016565,0.000336,0.007485,0.167256,2.000005,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Mitsuokella(100);
Otu021,0.002608,5.00E-06,0.00085,0.005597,2.10E-05,0.001872,0.129802,2.000005,1,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(100);
Otu022,0.119482,0.020178,0.05369,0.035309,0.002282,0.019502,0.124826,2.000005,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu023,0.002093,1.10E-05,0.001259,0.003982,3.80E-05,0.002518,0.688512,2.000005,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu024,0.002061,1.80E-05,0.001588,0.001202,1.00E-06,0.000418,0.764477,2.000005,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
Otu025,0.000805,2.00E-06,0.000565,0.000338,0,0.000259,0.628233,2.000005,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu026,0.011526,0.000247,0.005944,0.011006,0.000608,0.010065,0.976244,2.000005,1,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu027,9.70E-05,0,6.70E-05,0.00015,0,4.80E-05,0.710708,2.000005,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu028,0.021507,0.001222,0.013213,0.011119,0.00016,0.005162,0.643198,2.000005,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
