OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu035,0.001042,1.00E-06,0.000351,0.004921,7.70E-05,0.003586,0.317712,2.000011,0.761904,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu041,8.50E-05,0,4.10E-05,0,0,0,0.265294,2.000011,0.761904,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu051,0,0,0,0.000338,1.00E-06,0.000338,0.381123,2.000011,0.761904,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu055,0.001296,3.00E-06,0.000617,0.002104,1.00E-06,0.000371,0.294041,2.000011,0.761904,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu067,0.006846,0.000143,0.004233,0.001841,6.00E-06,0.001027,0.28289,2.000011,0.761904,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu071,0.000197,0,7.90E-05,7.50E-05,0,4.80E-05,0.316534,2.000011,0.761904,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionales_unclassified(100);Desulfovibrionales_unclassified(100);
Otu072,0.000197,0,0.000116,7.50E-05,0,7.50E-05,0.316534,2.000011,0.761904,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Romboutsia(100);
Otu074,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);
Otu083,0.000225,0,8.50E-05,0.000451,0,0.000184,0.299055,2.000011,0.761904,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);
Otu096,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Synergistes(100);
Otu098,5.60E-05,0,5.60E-05,0.001503,1.40E-05,0.001503,0.407863,2.000011,0.761904,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu109,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu112,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Clostridium_XI(100);
Otu117,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetales_unclassified(100);Actinomycetales_unclassified(100);
Otu125,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Fibrobacteres(100);Fibrobacteria(100);Fibrobacterales(100);Fibrobacteraceae(100);Fibrobacter(100);
Otu126,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Candidatus_Saccharibacteria(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);
Otu127,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Moraxella(100);
Otu130,0.000282,0,0.00014,0.000113,0,7.70E-05,0.324589,2.000011,0.761904,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu131,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Paraeggerthella(100);
Otu136,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcaceae_unclassified(100);
Otu140,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Catabacteriaceae(100);Catabacter(100);
Otu205,0,0,0,3.80E-05,0,3.80E-05,0.428571,2.000011,0.761904,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Acetobacteraceae(100);Acetobacter(100);
Otu026,0.003747,4.90E-05,0.002464,0.010593,0.000305,0.007135,0.449603,2.000011,0.779775015,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu087,0.000338,0,0.000237,0.000113,0,7.70E-05,0.452548,2.000011,0.779775015,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
