OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu046,0.000601,0,0.00019,0,0,0,0.001352,2.000022,0.219024,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu002,0.140035,0.00959,0.03998,0.046653,0.000534,0.009438,0.014781,2.000022,0.342074571,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu004,0.011419,6.70E-05,0.00335,0.002291,1.00E-06,0.000471,0.004324,2.000022,0.342074571,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu023,0.008114,3.90E-05,0.002551,0.00139,5.00E-06,0.000939,0.009029,2.000022,0.342074571,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu041,7.50E-05,0,4.80E-05,0.000864,1.00E-06,0.000341,0.014295,2.000022,0.342074571,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu057,0.001991,3.00E-06,0.000665,0.000338,0,0.000182,0.012438,2.000022,0.342074571,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Clostridium_IV(100);
Otu136,0,0,0,0.001052,1.00E-06,0.000438,0.011638,2.000022,0.342074571,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcaceae_unclassified(100);
Otu087,0.001728,3.00E-06,0.00067,0.000263,0,0.000135,0.020352,2.000022,0.412128,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu093,0.000113,0,0.000113,0.00169,3.00E-06,0.000763,0.023705,2.000022,0.42669,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu003,0.079108,0.008018,0.036555,0.012546,8.20E-05,0.003708,0.047429,2.000022,0.5187132,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu010,0.00909,8.30E-05,0.003726,0.002329,0,0.000215,0.047162,2.000022,0.5187132,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu018,0.001503,2.00E-06,0.000563,0.000413,0,0.000221,0.048029,2.000022,0.5187132,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu022,0.005409,4.10E-05,0.002602,0.017767,0.000228,0.006159,0.043819,2.000022,0.5187132,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu036,0.001052,1.00E-06,0.000414,0.000188,0,0.000147,0.033181,2.000022,0.5187132,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu084,0.000301,0,0.000161,0,0,0,0.040543,2.000022,0.5187132,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptococcaceae_1(100);Peptococcus(100);
Otu009,0.00278,1.50E-05,0.001563,0.000301,0,0.000181,0.082457,2.000022,0.522493615,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu014,0.009503,0.000123,0.004531,0.002216,1.00E-06,0.000417,0.077714,2.000022,0.522493615,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu033,0.006198,3.00E-05,0.002233,0.002479,4.00E-06,0.000781,0.083705,2.000022,0.522493615,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu040,0.002892,1.60E-05,0.001646,0.000225,0,0.000225,0.07641,2.000022,0.522493615,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu050,0.000188,0,0.000147,0,0,0,0.062488,2.000022,0.522493615,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu054,0.055255,0.00202,0.018351,0.144767,0.016509,0.052455,0.075686,2.000022,0.522493615,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
