OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu088,0.000113,0,6.00E-05,0,0,0,0.128325,1.999998,0.737938,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Howardella(100);
Otu093,0.00031,0,0.00019,3.20E-05,0,3.20E-05,0.131989,1.999998,0.737938,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu096,0,0,0,6.40E-05,0,6.40E-05,0.217774,1.999998,0.737938,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Synergistes(100);
Otu100,0,0,0,0.000225,0,0.00019,0.219,1.999998,0.737938,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Succiniclasticum(100);
Otu103,2.80E-05,0,2.80E-05,0.000129,0,0.000129,0.191741,1.999998,0.737938,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu107,0,0,0,9.70E-05,0,9.70E-05,0.101624,1.999998,0.737938,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);
Otu115,0.000113,0,0.000113,0,0,0,0.128325,1.999998,0.737938,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Acetivibrio(100);
Otu130,0.000479,1.00E-06,0.000284,3.20E-05,0,3.20E-05,0.098793,1.999998,0.737938,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu131,2.80E-05,0,2.80E-05,0.000129,0,6.70E-05,0.191741,1.999998,0.737938,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Paraeggerthella(100);
Otu138,0.000507,1.00E-06,0.000412,0,0,0,0.199448,1.999998,0.737938,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
Otu143,0,0,0,6.40E-05,0,6.40E-05,0.217774,1.999998,0.737938,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_Incertae_Sedis_XI(100);Gemella(100);
Otu162,8.50E-05,0,8.50E-05,0,0,0,0.253322,1.999998,0.737938,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetales_unclassified(100);Spirochaetales_unclassified(100);
