OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu111,2.80E-05,0,2.80E-05,3.20E-05,0,3.20E-05,1,1.999998,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonas(100);
Otu114,2.80E-05,0,2.80E-05,0,0,0,1,1.999998,1,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);
Otu116,2.80E-05,0,2.80E-05,3.20E-05,0,3.20E-05,1,1.999998,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Pseudoflavonifractor(100);
Otu122,2.80E-05,0,2.80E-05,0,0,0,1,1.999998,1,Bacteria(100);Lentisphaerae(100);Lentisphaeria(100);Victivallales(100);Victivallaceae(100);Victivallis(100);
Otu126,5.60E-05,0,5.60E-05,6.40E-05,0,6.40E-05,1,1.999998,1,Bacteria(100);Candidatus_Saccharibacteria(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);Candidatus_Saccharibacteria_unclassified(100);
Otu136,2.80E-05,0,2.80E-05,0,0,0,1,1.999998,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcaceae_unclassified(100);
Otu159,2.80E-05,0,2.80E-05,3.20E-05,0,3.20E-05,1,1.999998,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Selenomonadales_unclassified(100);Selenomonadales_unclassified(100);
Otu171,2.80E-05,0,2.80E-05,0,0,0,1,1.999998,1,Bacteria(100);Bacteroidetes(100);Cytophagia(100);Cytophagales(100);Cytophagaceae(100);Cytophagaceae_unclassified(100);
Otu204,2.80E-05,0,2.80E-05,0,0,0,1,1.999998,1,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Novosphingobium(100);
Otu230,2.80E-05,0,2.80E-05,3.20E-05,0,3.20E-05,1,1.999998,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Ezakiella(100);
