OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu075,0,0,0,0.001191,2.00E-06,0.000476,0.005185,1.999992,0.343128,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu093,0.000361,0,0.000307,0.003477,9.00E-06,0.001133,0.004025,1.999992,0.343128,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Leuconostocaceae(100);Weissella(100);
Otu138,0.000766,0,0.000299,3.20E-05,0,3.20E-05,0.006728,1.999992,0.343128,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Comamonadaceae_unclassified(100);
Otu022,0.002524,1.00E-06,0.000475,0.119482,0.020178,0.05369,0.01379,1.999992,0.351645,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu041,0,0,0,0.001674,4.00E-06,0.000768,0.013346,1.999992,0.351645,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu116,4.50E-05,0,4.50E-05,0.000708,1.00E-06,0.000289,0.009975,1.999992,0.351645,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Pseudoflavonifractor(100);
Otu054,0.005003,6.00E-05,0.003452,0.079429,0.008877,0.035611,0.019123,1.999992,0.366435,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu073,0.00018,0,8.40E-05,0.000934,1.00E-06,0.000353,0.01916,1.999992,0.366435,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu092,0,0,0,0.000805,1.00E-06,0.000408,0.02663,1.999992,0.45271,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu051,0.000406,0,0.000166,0.018803,0.000631,0.009497,0.030395,1.999992,0.4650435,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Coprococcus(100);
Otu030,0,0,0,0.000193,0,0.000125,0.044623,1.999992,0.525178385,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu065,0,0,0,0.000193,0,0.000159,0.044623,1.999992,0.525178385,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);
Otu105,0,0,0,0.000193,0,0.000159,0.044623,1.999992,0.525178385,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu136,0,0,0,0.00103,2.00E-06,0.000592,0.051,1.999992,0.557357143,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcaceae_unclassified(100);
Otu001,0.628082,0.043754,0.093546,0.39367,0.082375,0.10848,0.068519,1.999992,0.6126885,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu055,0.000541,0,0.000169,0.00235,9.00E-06,0.001129,0.07942,1.999992,0.6126885,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu076,0,0,0,0.000161,0,0.000161,0.08009,1.999992,0.6126885,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu078,0.000451,0,0.000236,6.40E-05,0,4.20E-05,0.073802,1.999992,0.6126885,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Allisonella(100);
Otu177,0,0,0,0.000161,0,0.000127,0.08009,1.999992,0.6126885,Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);
Otu179,0,0,0,0.000161,0,0.000127,0.08009,1.999992,0.6126885,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnoanaerobaculum(100);
Otu028,0.001217,2.00E-06,0.000611,0.021507,0.001222,0.013213,0.092914,1.999992,0.646174636,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
Otu050,0,0,0,0.00029,0,0.000189,0.090667,1.999992,0.646174636,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu011,0.000225,0,0.000101,0.00322,3.00E-05,0.002055,0.118593,1.999992,0.6600555,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu013,0.008069,9.50E-05,0.004364,0.060047,0.008703,0.03526,0.114519,1.999992,0.6600555,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu023,0.008069,7.10E-05,0.003759,0.002093,1.10E-05,0.001259,0.099494,1.999992,0.6600555,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu032,0.000135,0,5.50E-05,0.000869,2.00E-06,5.00E-04,0.117136,1.999992,0.6600555,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu060,0,0,0,0.000225,0,0.000163,0.146679,1.999992,0.6600555,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu064,0,0,0,0.000129,0,6.70E-05,0.145916,1.999992,0.6600555,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Intestinimonas(100);
Otu069,0,0,0,0.000129,0,9.70E-05,0.145916,1.999992,0.6600555,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XIII(100);Mogibacterium(100);
Otu087,0,0,0,0.000129,0,8.30E-05,0.145916,1.999992,0.6600555,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Senegalimassilia(100);
Otu130,0,0,0,0.000129,0,6.70E-05,0.145916,1.999992,0.6600555,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Bulleidia(100);
Otu144,0,0,0,0.000129,0,9.70E-05,0.145916,1.999992,0.6600555,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Alcaligenaceae(100);Alcaligenaceae_unclassified(100);
Otu146,0,0,0,0.000612,1.00E-06,0.000436,0.140642,1.999992,0.6600555,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Cellulosilyticum(100);
