OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu016,0.002442,4.00E-06,0.00083,0.014875,9.90E-05,0.004969,0.008866,2.000007,0.366559,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Alloprevotella(100);
Otu041,0.000864,1.00E-06,0.000341,0,0,0,0.007969,2.000007,0.366559,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu058,7.50E-05,0,7.50E-05,0.008057,2.90E-05,0.002683,0.002835,2.000007,0.366559,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu136,0.001052,1.00E-06,0.000438,0,0,0,0.009907,2.000007,0.366559,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcaceae_unclassified(100);
Otu002,0.046653,0.000534,0.009438,0.210446,0.02524,0.079435,0.028371,2.000007,0.5592032,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu004,0.002291,1.00E-06,0.000471,0.015607,0.00015,0.006115,0.019856,2.000007,0.5592032,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu009,0.000301,0,0.000181,0.004057,1.40E-05,0.001874,0.031753,2.000007,0.5592032,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu011,0.001127,1.00E-06,0.000494,0.015213,0.00021,0.007239,0.037784,2.000007,0.5592032,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu023,0.00139,5.00E-06,0.000939,0.009579,6.60E-05,0.004063,0.035309,2.000007,0.5592032,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu054,0.144767,0.016509,0.052455,0.028229,0.00157,0.019814,0.027103,2.000007,0.5592032,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu014,0.002216,1.00E-06,0.000417,0.009635,6.60E-05,0.004074,0.054237,2.000007,0.5919445,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu029,0.000376,0,0.000126,0.003944,1.60E-05,0.002002,0.058186,2.000007,0.5919445,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu052,0,0,0,0.000169,0,0.000169,0.063994,2.000007,0.5919445,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
