OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu103,3.20E-05,0,3.20E-05,0.000479,0,0.000108,0.000513,1.999996,0.063099,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_unclassified(100);Bacillales_unclassified(100);
Otu006,0.036576,0.000261,0.00611,0.016509,9.60E-05,0.00347,0.006303,1.999996,0.258423,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu121,9.70E-05,0,6.70E-05,0.000873,1.00E-06,0.000261,0.005947,1.999996,0.258423,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu058,0.006665,1.20E-05,0.001313,0.002648,4.00E-06,0.000692,0.008908,1.999996,0.273921,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu002,0.296854,0.006681,0.030894,0.204558,0.002644,0.01818,0.011684,1.999996,0.2874264,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu008,0.005184,9.00E-06,0.001114,0.002451,2.00E-06,0.000517,0.025474,1.999996,0.522217,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu003,0.052481,0.000709,0.010064,0.106942,0.005467,0.026141,0.046987,1.999996,0.530264182,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu032,0.012975,8.70E-05,0.00353,0.005212,2.70E-05,0.001827,0.046303,1.999996,0.530264182,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu047,0.003735,6.00E-06,0.000916,0.00169,2.00E-06,0.00048,0.044211,1.999996,0.530264182,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Treponema(100);
Otu060,6.40E-05,0,4.20E-05,0.000592,0,0.000244,0.032039,1.999996,0.530264182,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu091,0.000129,0,0.000129,0,0,0,0.047422,1.999996,0.530264182,Bacteria(100);Actinobacteria(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);Actinobacteria_unclassified(100);
Otu004,0.034966,0.000126,0.004245,0.024031,0.000163,0.004517,0.070026,1.999996,0.55699213,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu017,0.044882,0.001472,0.014502,0.018058,0.000173,0.004654,0.070645,1.999996,0.55699213,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);
Otu019,0.008468,9.70E-05,0.003729,0.026792,0.000705,0.009389,0.062684,1.999996,0.55699213,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu029,0.004991,9.00E-06,0.001144,0.002395,9.00E-06,0.001046,0.087763,1.999996,0.55699213,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(100);
Otu033,0.012943,3.30E-05,0.002171,0.028369,0.000648,0.008998,0.088908,1.999996,0.55699213,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemanella(100);
Otu042,0.000161,0,9.50E-05,2.80E-05,0,2.80E-05,0.104153,1.999996,0.55699213,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(100);
Otu045,0.000386,0,0.000254,0.00986,0.000236,0.005427,0.073868,1.999996,0.55699213,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu065,0.00161,1.00E-06,0.000416,0.000761,1.00E-06,0.000282,0.084632,1.999996,0.55699213,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteriales(100);Coriobacteriaceae(100);Collinsella(100);
Otu076,0.002415,1.00E-05,0.001174,0.000479,0,0.000235,0.099803,1.999996,0.55699213,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu105,9.70E-05,0,9.70E-05,0,0,0,0.101624,1.999996,0.55699213,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);
Otu136,9.70E-05,0,9.70E-05,0,0,0,0.101624,1.999996,0.55699213,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcaceae_unclassified(100);
Otu243,0,0,0,0.000141,0,8.50E-05,0.065274,1.999996,0.55699213,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Proteus(100);
Otu013,0.002318,1.10E-05,0.001275,0.010565,0.000217,0.005206,0.119,1.999996,0.584591667,Bacteria(100);Bacteroidetes(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);Bacteroidetes_unclassified(100);
Otu026,0.04675,0.002419,0.018588,0.077643,0.000514,0.008013,0.123355,1.999996,0.584591667,Bacteria(100);Proteobacteria(100);Epsilonproteobacteria(100);Campylobacterales(100);Campylobacteraceae(100);Campylobacter(100);
Otu053,0.002576,4.00E-06,0.000793,0.001268,1.00E-06,0.000338,0.124421,1.999996,0.584591667,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu143,0,0,0,0.000113,0,7.40E-05,0.128325,1.999996,0.584591667,Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_Incertae_Sedis_XI(100);Gemella(100);
Otu023,0.017129,0.000152,0.004665,0.024932,6.10E-05,0.002771,0.148421,1.999996,0.65199225,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Dialister(100);
Otu011,0.019415,0.000116,0.004066,0.011579,0.000131,0.004044,0.170882,1.999996,0.7006162,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu055,0.004862,6.30E-05,0.003008,0.000704,1.00E-06,0.000391,0.169092,1.999996,0.7006162,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu010,0.034257,0.000363,0.007202,0.021946,0.000304,0.006162,0.194737,1.999996,0.731908263,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu024,0.00103,1.00E-06,0.000411,0.017692,0.001473,0.013569,0.226118,1.999996,0.731908263,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Selenomonas(100);
