OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu001,0.211968,0.072108,0.109627,0.234543,0.051868,0.092976,0.929807,2.000019,1,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu002,0.140035,0.00959,0.03998,0.164375,0.015849,0.051395,0.809817,2.000019,1,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu003,0.079108,0.008018,0.036555,0.035159,0.000644,0.01036,0.268899,2.000019,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu004,0.011419,6.70E-05,0.00335,0.014311,0.000132,0.004698,0.743972,2.000019,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu005,0.009992,0.000107,0.004225,0.01495,0.000125,0.004561,0.585752,2.000019,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu006,0.042972,0.00358,0.024426,0.016753,8.60E-05,0.003787,0.32055,2.000019,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu007,0.048343,0.003319,0.023519,0.038464,0.000448,0.008644,0.798009,2.000019,1,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(100);
Otu008,0.003568,2.20E-05,0.001904,0.00293,6.00E-06,0.000994,0.845817,2.000019,1,Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu009,0.00278,1.50E-05,0.001563,0.000639,1.00E-06,0.000375,0.18778,2.000019,1,Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu010,0.00909,8.30E-05,0.003726,0.01803,0.000245,0.006386,0.242394,2.000019,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
