OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu003,0.142946,0.00801,0.031642,0.076049,0.004152,0.024355,0.096378,2,0.776936533,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonellaceae_unclassified(100);
Otu004,0.021721,6.00E-05,0.002746,0.030233,0.000119,0.004126,0.087838,2,0.776936533,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu010,0.017833,0.000256,0.005653,0.035964,0.000627,0.009462,0.104054,2,0.776936533,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu022,0.000366,0,0.000213,0.008081,8.80E-05,0.003544,0.028514,2,0.776936533,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu031,0.01572,0.000322,0.00634,0.001352,3.00E-06,0.00063,0.02277,2,0.776936533,Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(100);Desulfovibrio(100);
Otu032,0.004395,1.70E-05,0.001472,0.009917,4.60E-05,0.002572,0.061473,2,0.776936533,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Acidaminococcus(100);
Otu045,0.020876,0.000846,0.010285,0.002962,1.90E-05,0.001641,0.087392,2,0.776936533,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Anaerobiospirillum(100);
Otu073,0.000197,0,0.000116,3.20E-05,0,3.20E-05,0.075168,2,0.776936533,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu076,0.000479,0,0.000138,0.000998,1.00E-06,0.000278,0.096203,2,0.776936533,Bacteria(100);Spirochaetes(100);Spirochaetia(100);Spirochaetales(100);Spirochaetaceae(100);Sphaerochaeta(100);
Otu086,0,0,0,9.70E-05,0,6.70E-05,0.101624,2,0.776936533,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacteriaceae_unclassified(100);
Otu089,0.000423,0,0.000183,9.70E-05,0,6.70E-05,0.096797,2,0.776936533,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);Betaproteobacteria_unclassified(100);
Otu090,0,0,0,0.000258,0,0.000143,0.071676,2,0.776936533,Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenibacterium(100);
Otu092,0,0,0,0.000129,0,0.000129,0.047422,2,0.776936533,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Anaerovibrio(100);
Otu109,0,0,0,9.70E-05,0,9.70E-05,0.101624,2,0.776936533,Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);
Otu121,0.000225,0,0.000165,0.001739,5.00E-06,0.000866,0.087797,2,0.776936533,Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu006,0.01772,0.000148,0.004304,0.02711,0.000244,0.005909,0.231514,2,0.800559529,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);
Otu025,0.003268,6.00E-06,0.000895,0.005924,2.40E-05,0.001867,0.232176,2,0.800559529,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Porphyromonadaceae_unclassified(100);
Otu027,0.000141,0,8.50E-05,3.20E-05,0,3.20E-05,0.22497,2,0.800559529,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);
Otu028,2.80E-05,0,2.80E-05,0.000129,0,9.70E-05,0.191741,2,0.800559529,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae_1(100);Clostridium_sensu_stricto(100);
