OTU,mean.group1.,variance.group1.,stderr.group1.,mean.group2.,variance.group2.,stderr.group2.,p.value,sum.groupmeans,FDR.q.value,Taxonomy
Otu001,0.248845,0.005225,0.025556,0.135548,0.002986,0.020655,0.001961,1.999995,0.145405,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);
Otu034,0.013833,9.30E-05,0.003417,0.002028,3.00E-06,0.00062,0.002237,1.999995,0.145405,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);
Otu002,0.118126,0.004136,0.022737,0.264046,0.010618,0.038947,0.003408,1.999995,0.14768,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);
Otu036,0.009973,7.50E-05,0.003055,0.00264,2.00E-06,0.000503,0.020921,1.999995,0.57408,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillaceae_unclassified(100);
Otu040,0.0091,4.20E-05,0.002281,0.021507,0.000251,0.005991,0.057408,1.999995,0.57408,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Cloacibacillus(100);
Otu041,0,0,0,0.000129,0,0.000129,0.047422,1.999995,0.57408,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(100);
Otu055,0.008057,6.00E-05,0.002728,0.001803,3.00E-06,0.000624,0.028158,1.999995,0.57408,Bacteria(100);Synergistetes(100);Synergistia(100);Synergistales(100);Synergistaceae(100);Pyramidobacter(100);
Otu058,0.001606,4.00E-06,0.000667,0.003896,6.00E-06,0.000914,0.046211,1.999995,0.57408,Bacteria(100);Deferribacteres(100);Deferribacteres(100);Deferribacterales(100);Deferribacteraceae(100);Mucispirillum(100);
Otu067,0.009607,0.000129,0.00401,0.001706,3.00E-06,0.000616,0.055658,1.999995,0.57408,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Anaerotruncus(100);
Otu075,2.80E-05,0,2.80E-05,0.000193,0,0.000134,0.055643,1.999995,0.57408,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);
Otu083,0.003803,1.90E-05,0.001525,0.000644,1.00E-06,0.000376,0.047171,1.999995,0.57408,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);
